area_id,area_name,latitude,longitude,parameter_id,parameter_description,datetime,value_type,value_text
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406270600,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271200,,157.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271200,,SSE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271200,,15730
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271800,,135
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271800,,SE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406271800,,13500
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280000,,90
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280000,,E
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280000,,9000
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280600,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280600,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406280600,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281200,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281200,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281200,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281800,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281800,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406281800,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290000,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290000,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290000,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290600,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290600,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406290600,,11230
